date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:27	30478/30478	---M--	200	added ('OK')	image/jpeg	etag:%22d290461e12824f772f23f91a69232ee0%22	https://site-1390491.mozfiles.com/files/1390491/Regles_du_Bastonus.jpg	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/site-1390491.mozfiles.com/files/1390491/Regles_du_Bastonus.jpg	(from https://lebastonus.mozello.com/regles/)
00:14:30	332238/332238	---M--	200	added ('OK')	image/jpeg	etag:%22d8c8f1d51a2283e79a9e6e3d507ed3d9%22	https://site-1390491.mozfiles.com/files/1390491/banners/36577623/Medieval_Landscape.jpg?1626610	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/site-1390491.mozfiles.com/files/1390491/banners/36577623/Medieval_Landscapeb4b2.jpg	(from https://lebastonus.mozello.com/telecharger/)
00:14:30	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2015%20Apr%202021%2022:14:29%20GMT	https://fonts.googleapis.com/robots.txt		(from https://lebastonus.mozello.fr/)
00:14:31	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:14:28%20GMT	https://lebastonus.mozello.com/meduspods/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.com/meduspods/index.html	(from https://lebastonus.mozello.com/)
00:14:31	28374/28374	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:14:28%20GMT	https://lebastonus.mozello.com/accueil/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.com/accueil/index.html	(from https://lebastonus.mozello.com/)
00:14:33	15086/15086	UR-MC-	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2015%20Apr%202021%2022:14:32%20GMT	https://lebastonus.mozello.fr/favicon.png?0	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.fr/faviconcfcd.png	(from https://lebastonus.mozello.fr/)
00:14:33	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2015%20Apr%202021%2022:14:32%20GMT	https://dss4hwpyv4qfp.cloudfront.net/libs/js/fancybox3/jquery.fancybox.min.js?v=1.991	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/libs/js/fancybox3/jquery.fancybox.min85db.js	(from https://lebastonus.mozello.fr/)
00:14:33	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2015%20Apr%202021%2022:14:32%20GMT	https://dss4hwpyv4qfp.cloudfront.net/libs/js/bannerplay/jquery.bannerplay.js?v=1.991	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/libs/js/bannerplay/jquery.bannerplay85db.js	(from https://lebastonus.mozello.fr/)
00:14:34	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2015%20Apr%202021%2022:14:34%20GMT	https://dss4hwpyv4qfp.cloudfront.net/designs/_shared/js/designfx.js?v=1.991	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/designs/_shared/js/designfx85db.js	(from https://lebastonus.mozello.fr/)
00:14:34	262/262	---M-Z	200	added ('OK')	image/svg+xml	etag:%22106-5bd15341f9080-gzip%22	https://dss4hwpyv4qfp.cloudfront.net/libs/icons/icon-arrow-left-white.svg	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/libs/icons/icon-arrow-left-white.svg	(from https://dss4hwpyv4qfp.cloudfront.net/designs/_shared/css/layout-shared.css?v=1.991)
